state_code,state_name_en,state_name_pt,country,map_location
AC,Acre,Acre,Brazil,"Acre, Brazil"
AL,Alagoas,Alagoas,Brazil,"Alagoas, Brazil"
AP,Amapa,Amapa,Brazil,"Amapa, Brazil"
AM,Amazonas,Amazonas,Brazil,"Amazonas, Brazil"
BA,Bahia,Bahia,Brazil,"Bahia, Brazil"
CE,Ceara,Ceara,Brazil,"Ceara, Brazil"
DF,Federal District,Distrito Federal,Brazil,"Distrito Federal, Brazil"
ES,Espirito Santo,Espirito Santo,Brazil,"Espirito Santo, Brazil"
GO,Goias,Goias,Brazil,"Goias, Brazil"
MA,Maranhao,Maranhao,Brazil,"Maranhao, Brazil"
MT,Mato Grosso,Mato Grosso,Brazil,"Mato Grosso, Brazil"
MS,Mato Grosso do Sul,Mato Grosso do Sul,Brazil,"Mato Grosso do Sul, Brazil"
MG,Minas Gerais,Minas Gerais,Brazil,"Minas Gerais, Brazil"
PA,Para,Para,Brazil,"Para, Brazil"
PB,Paraiba,Paraiba,Brazil,"Paraiba, Brazil"
PR,Parana,Parana,Brazil,"Parana, Brazil"
PE,Pernambuco,Pernambuco,Brazil,"Pernambuco, Brazil"
PI,Piaui,Piaui,Brazil,"Piaui, Brazil"
RJ,Rio de Janeiro,Rio de Janeiro,Brazil,"Rio de Janeiro, Brazil"
RN,Rio Grande do Norte,Rio Grande do Norte,Brazil,"Rio Grande do Norte, Brazil"
RS,Rio Grande do Sul,Rio Grande do Sul,Brazil,"Rio Grande do Sul, Brazil"
RO,Rondonia,Rondonia,Brazil,"Rondonia, Brazil"
RR,Roraima,Roraima,Brazil,"Roraima, Brazil"
SC,Santa Catarina,Santa Catarina,Brazil,"Santa Catarina, Brazil"
SP,Sao Paulo,Sao Paulo,Brazil,"Sao Paulo, Brazil"
SE,Sergipe,Sergipe,Brazil,"Sergipe, Brazil"
TO,Tocantins,Tocantins,Brazil,"Tocantins, Brazil"
